Epsilon,Robust Cost,Nominal Cost,Rho,Rho (True),Workload (Perturbed),Workload (True)
0.7000000000000001,0.5279834313642352,0.5130504583673353,0.4,0.0006452151427088139,"Workload(z0=0.48852700143543815, z1=0.48756314836565035, q=0.014004169855230208, w=0.009905680343681212)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.7000000000000001,0.5374617382696724,0.5130504584221109,0.5,0.0006452151427088139,"Workload(z0=0.48852700143543815, z1=0.48756314836565035, q=0.014004169855230208, w=0.009905680343681212)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.7000000000000001,0.5514027641185195,0.5130504584419154,0.6000000000000001,0.0006452151427088139,"Workload(z0=0.48852700143543815, z1=0.48756314836565035, q=0.014004169855230208, w=0.009905680343681212)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.7000000000000001,0.5706274513515871,0.5130504584216051,0.7000000000000001,0.0006452151427088139,"Workload(z0=0.48852700143543815, z1=0.48756314836565035, q=0.014004169855230208, w=0.009905680343681212)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.7000000000000001,0.5946987181471685,0.5130504584086165,0.8,0.0006452151427088139,"Workload(z0=0.48852700143543815, z1=0.48756314836565035, q=0.014004169855230208, w=0.009905680343681212)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.7000000000000001,0.6204520641657881,0.5130504585016324,0.9,0.0006452151427088139,"Workload(z0=0.48852700143543815, z1=0.48756314836565035, q=0.014004169855230208, w=0.009905680343681212)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.7000000000000001,0.6476330324458018,0.5130504584055908,1.0,0.0006452151427088139,"Workload(z0=0.48852700143543815, z1=0.48756314836565035, q=0.014004169855230208, w=0.009905680343681212)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.7000000000000001,0.673628238301626,0.5130504584725544,1.1,0.0006452151427088139,"Workload(z0=0.48852700143543815, z1=0.48756314836565035, q=0.014004169855230208, w=0.009905680343681212)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.7000000000000001,0.6575401715560509,0.5130504584451577,1.2000000000000002,0.0006452151427088139,"Workload(z0=0.48852700143543815, z1=0.48756314836565035, q=0.014004169855230208, w=0.009905680343681212)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.7000000000000001,0.7213623043180147,0.5130504585092114,1.3,0.0006452151427088139,"Workload(z0=0.48852700143543815, z1=0.48756314836565035, q=0.014004169855230208, w=0.009905680343681212)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.7000000000000001,0.7302396774466778,0.5130504585035941,1.4000000000000001,0.0006452151427088139,"Workload(z0=0.48852700143543815, z1=0.48756314836565035, q=0.014004169855230208, w=0.009905680343681212)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
